Epoch 77/500, Train Loss: 0.8911, Val Loss: 0.8844, LR: 0.000050
Epoch 78/500, Train Loss: 0.8909, Val Loss: 0.8830, LR: 0.000050
Epoch 79/500, Train Loss: 0.8902, Val Loss: 0.8819, LR: 0.000050
Epoch 80/500, Train Loss: 0.8903, Val Loss: 0.8825, LR: 0.000050
Epoch 81/500, Train Loss: 0.8898, Val Loss: 0.8828, LR: 0.000050
Epoch 82/500, Train Loss: 0.8893, Val Loss: 0.8819, LR: 0.000050
Epoch 83/500, Train Loss: 0.8892, Val Loss: 0.8818, LR: 0.000050
Epoch 84/500, Train Loss: 0.8882, Val Loss: 0.8813, LR: 0.000050
Epoch 85/500, Train Loss: 0.8879, Val Loss: 0.8812, LR: 0.000050
Epoch 86/500, Train Loss: 0.8881, Val Loss: 0.8801, LR: 0.000050
Epoch 87/500, Train Loss: 0.8875, Val Loss: 0.8807, LR: 0.000050
Epoch 88/500, Train Loss: 0.8870, Val Loss: 0.8802, LR: 0.000050
Epoch 89/500, Train Loss: 0.8866, Val Loss: 0.8798, LR: 0.000050
Epoch 90/500, Train Loss: 0.8861, Val Loss: 0.8785, LR: 0.000050
Epoch 91/500, Train Loss: 0.8857, Val Loss: 0.8787, LR: 0.000050
Epoch 92/500, Train Loss: 0.8855, Val Loss: 0.8782, LR: 0.000050
Epoch 93/500, Train Loss: 0.8852, Val Loss: 0.8779, LR: 0.000050
Epoch 94/500, Train Loss: 0.8846, Val Loss: 0.8772, LR: 0.000050
Epoch 95/500, Train Loss: 0.8846, Val Loss: 0.8767, LR: 0.000050
Epoch 96/500, Train Loss: 0.8838, Val Loss: 0.8759, LR: 0.000050
Epoch 97/500, Train Loss: 0.8838, Val Loss: 0.8756, LR: 0.000050
Epoch 98/500, Train Loss: 0.8834, Val Loss: 0.8753, LR: 0.000050
Epoch 99/500, Train Loss: 0.8825, Val Loss: 0.8755, LR: 0.000050
Epoch 100/500, Train Loss: 0.8824, Val Loss: 0.8758, LR: 0.000025
Epoch 101/500, Train Loss: 0.8802, Val Loss: 0.8732, LR: 0.000025
Epoch 102/500, Train Loss: 0.8799, Val Loss: 0.8723, LR: 0.000025
Epoch 103/500, Train Loss: 0.8792, Val Loss: 0.8720, LR: 0.000025
Epoch 104/500, Train Loss: 0.8796, Val Loss: 0.8717, LR: 0.000025
Epoch 105/500, Train Loss: 0.8792, Val Loss: 0.8717, LR: 0.000025
Epoch 106/500, Train Loss: 0.8788, Val Loss: 0.8717, LR: 0.000025
Epoch 107/500, Train Loss: 0.8787, Val Loss: 0.8706, LR: 0.000025
Epoch 108/500, Train Loss: 0.8788, Val Loss: 0.8707, LR: 0.000025
Epoch 109/500, Train Loss: 0.8781, Val Loss: 0.8705, LR: 0.000025
Epoch 110/500, Train Loss: 0.8781, Val Loss: 0.8702, LR: 0.000025
Epoch 111/500, Train Loss: 0.8777, Val Loss: 0.8699, LR: 0.000025
Epoch 112/500, Train Loss: 0.8772, Val Loss: 0.8709, LR: 0.000025
Epoch 113/500, Train Loss: 0.8776, Val Loss: 0.8706, LR: 0.000025
Epoch 114/500, Train Loss: 0.8772, Val Loss: 0.8694, LR: 0.000025
Epoch 115/500, Train Loss: 0.8766, Val Loss: 0.8692, LR: 0.000025
Epoch 116/500, Train Loss: 0.8770, Val Loss: 0.8695, LR: 0.000025
Epoch 117/500, Train Loss: 0.8766, Val Loss: 0.8692, LR: 0.000025
Epoch 118/500, Train Loss: 0.8760, Val Loss: 0.8690, LR: 0.000025
Epoch 119/500, Train Loss: 0.8760, Val Loss: 0.8689, LR: 0.000025
Epoch 120/500, Train Loss: 0.8760, Val Loss: 0.8686, LR: 0.000025
Epoch 121/500, Train Loss: 0.8755, Val Loss: 0.8689, LR: 0.000025
Epoch 122/500, Train Loss: 0.8756, Val Loss: 0.8681, LR: 0.000025
Epoch 123/500, Train Loss: 0.8756, Val Loss: 0.8678, LR: 0.000025
Epoch 124/500, Train Loss: 0.8753, Val Loss: 0.8673, LR: 0.000025
Epoch 125/500, Train Loss: 0.8752, Val Loss: 0.8676, LR: 0.000025
Epoch 126/500, Train Loss: 0.8751, Val Loss: 0.8672, LR: 0.000025
Epoch 127/500, Train Loss: 0.8743, Val Loss: 0.8671, LR: 0.000025
Epoch 128/500, Train Loss: 0.8745, Val Loss: 0.8664, LR: 0.000025
Epoch 129/500, Train Loss: 0.8744, Val Loss: 0.8669, LR: 0.000025
Epoch 130/500, Train Loss: 0.8740, Val Loss: 0.8664, LR: 0.000025
Epoch 131/500, Train Loss: 0.8741, Val Loss: 0.8657, LR: 0.000025
Epoch 132/500, Train Loss: 0.8740, Val Loss: 0.8660, LR: 0.000025
Epoch 133/500, Train Loss: 0.8736, Val Loss: 0.8658, LR: 0.000025
Epoch 134/500, Train Loss: 0.8734, Val Loss: 0.8648, LR: 0.000025
Epoch 135/500, Train Loss: 0.8727, Val Loss: 0.8653, LR: 0.000025
Epoch 136/500, Train Loss: 0.8730, Val Loss: 0.8651, LR: 0.000025
Epoch 137/500, Train Loss: 0.8730, Val Loss: 0.8650, LR: 0.000025
Epoch 138/500, Train Loss: 0.8724, Val Loss: 0.8648, LR: 0.000025
Epoch 139/500, Train Loss: 0.8725, Val Loss: 0.8644, LR: 0.000025
Epoch 140/500, Train Loss: 0.8724, Val Loss: 0.8650, LR: 0.000025
Epoch 141/500, Train Loss: 0.8723, Val Loss: 0.8646, LR: 0.000025
Epoch 142/500, Train Loss: 0.8718, Val Loss: 0.8646, LR: 0.000025
Epoch 143/500, Train Loss: 0.8715, Val Loss: 0.8645, LR: 0.000025
Epoch 144/500, Train Loss: 0.8715, Val Loss: 0.8639, LR: 0.000025
Epoch 145/500, Train Loss: 0.8718, Val Loss: 0.8639, LR: 0.000025
Epoch 146/500, Train Loss: 0.8711, Val Loss: 0.8629, LR: 0.000025
Epoch 147/500, Train Loss: 0.8708, Val Loss: 0.8622, LR: 0.000025
Epoch 148/500, Train Loss: 0.8712, Val Loss: 0.8623, LR: 0.000025
Epoch 149/500, Train Loss: 0.8709, Val Loss: 0.8627, LR: 0.000025
Epoch 150/500, Train Loss: 0.8706, Val Loss: 0.8615, LR: 0.000013
Epoch 151/500, Train Loss: 0.8696, Val Loss: 0.8602, LR: 0.000013
Epoch 152/500, Train Loss: 0.8692, Val Loss: 0.8598, LR: 0.000013
Epoch 153/500, Train Loss: 0.8689, Val Loss: 0.8595, LR: 0.000013
Epoch 154/500, Train Loss: 0.8684, Val Loss: 0.8599, LR: 0.000013
Epoch 155/500, Train Loss: 0.8686, Val Loss: 0.8588, LR: 0.000013
Epoch 156/500, Train Loss: 0.8685, Val Loss: 0.8592, LR: 0.000013
Epoch 157/500, Train Loss: 0.8686, Val Loss: 0.8587, LR: 0.000013
Epoch 158/500, Train Loss: 0.8682, Val Loss: 0.8590, LR: 0.000013
Epoch 159/500, Train Loss: 0.8681, Val Loss: 0.8582, LR: 0.000013
Epoch 160/500, Train Loss: 0.8680, Val Loss: 0.8586, LR: 0.000013
Epoch 161/500, Train Loss: 0.8682, Val Loss: 0.8582, LR: 0.000013
Epoch 162/500, Train Loss: 0.8680, Val Loss: 0.8589, LR: 0.000013
Epoch 163/500, Train Loss: 0.8682, Val Loss: 0.8584, LR: 0.000013
Epoch 164/500, Train Loss: 0.8676, Val Loss: 0.8584, LR: 0.000013
Epoch 165/500, Train Loss: 0.8676, Val Loss: 0.8583, LR: 0.000013
Epoch 166/500, Train Loss: 0.8674, Val Loss: 0.8584, LR: 0.000013
Epoch 167/500, Train Loss: 0.8674, Val Loss: 0.8582, LR: 0.000013
Epoch 168/500, Train Loss: 0.8674, Val Loss: 0.8585, LR: 0.000013
Epoch 169/500, Train Loss: 0.8674, Val Loss: 0.8579, LR: 0.000013
Epoch 170/500, Train Loss: 0.8672, Val Loss: 0.8580, LR: 0.000013
Epoch 171/500, Train Loss: 0.8670, Val Loss: 0.8573, LR: 0.000013
Epoch 172/500, Train Loss: 0.8666, Val Loss: 0.8576, LR: 0.000013
Epoch 173/500, Train Loss: 0.8668, Val Loss: 0.8571, LR: 0.000013
Epoch 174/500, Train Loss: 0.8665, Val Loss: 0.8580, LR: 0.000013
Epoch 175/500, Train Loss: 0.8669, Val Loss: 0.8571, LR: 0.000013
Epoch 176/500, Train Loss: 0.8666, Val Loss: 0.8569, LR: 0.000013
Epoch 177/500, Train Loss: 0.8665, Val Loss: 0.8565, LR: 0.000013
Epoch 178/500, Train Loss: 0.8663, Val Loss: 0.8568, LR: 0.000013
