Epoch 32/500, Train Loss: 0.8534, Train Particles Loss: 0.9583, Train Jets Loss: 0.5659, Val Loss: 0.8497, Val Particles Loss: 0.9515, Val Jets Loss: 0.5642, LR: 0.001000
Epoch 33/500, Train Loss: 0.8518, Train Particles Loss: 0.9562, Train Jets Loss: 0.5649, Val Loss: 0.8496, Val Particles Loss: 0.9511, Val Jets Loss: 0.5643, LR: 0.001000
Epoch 34/500, Train Loss: 0.8512, Train Particles Loss: 0.9557, Train Jets Loss: 0.5645, Val Loss: 0.8481, Val Particles Loss: 0.9507, Val Jets Loss: 0.5628, LR: 0.001000
Epoch 35/500, Train Loss: 0.8515, Train Particles Loss: 0.9565, Train Jets Loss: 0.5646, Val Loss: 0.8494, Val Particles Loss: 0.9523, Val Jets Loss: 0.5637, LR: 0.001000
Epoch 36/500, Train Loss: 0.8499, Train Particles Loss: 0.9539, Train Jets Loss: 0.5637, Val Loss: 0.8486, Val Particles Loss: 0.9504, Val Jets Loss: 0.5634, LR: 0.001000
Epoch 37/500, Train Loss: 0.8493, Train Particles Loss: 0.9536, Train Jets Loss: 0.5633, Val Loss: 0.8471, Val Particles Loss: 0.9467, Val Jets Loss: 0.5631, LR: 0.001000
Epoch 38/500, Train Loss: 0.8484, Train Particles Loss: 0.9524, Train Jets Loss: 0.5627, Val Loss: 0.8478, Val Particles Loss: 0.9515, Val Jets Loss: 0.5623, LR: 0.001000
Epoch 39/500, Train Loss: 0.8482, Train Particles Loss: 0.9525, Train Jets Loss: 0.5624, Val Loss: 0.8477, Val Particles Loss: 0.9489, Val Jets Loss: 0.5630, LR: 0.001000
Epoch 40/500, Train Loss: 0.8487, Train Particles Loss: 0.9535, Train Jets Loss: 0.5627, Val Loss: 0.8479, Val Particles Loss: 0.9476, Val Jets Loss: 0.5636, LR: 0.001000
Epoch 41/500, Train Loss: 0.8475, Train Particles Loss: 0.9517, Train Jets Loss: 0.5620, Val Loss: 0.8443, Val Particles Loss: 0.9457, Val Jets Loss: 0.5606, LR: 0.001000
Epoch 42/500, Train Loss: 0.8474, Train Particles Loss: 0.9521, Train Jets Loss: 0.5618, Val Loss: 0.8443, Val Particles Loss: 0.9453, Val Jets Loss: 0.5607, LR: 0.001000
Epoch 43/500, Train Loss: 0.8472, Train Particles Loss: 0.9521, Train Jets Loss: 0.5616, Val Loss: 0.8447, Val Particles Loss: 0.9464, Val Jets Loss: 0.5607, LR: 0.001000
Epoch 44/500, Train Loss: 0.8464, Train Particles Loss: 0.9503, Train Jets Loss: 0.5613, Val Loss: 0.8474, Val Particles Loss: 0.9503, Val Jets Loss: 0.5624, LR: 0.001000
Epoch 45/500, Train Loss: 0.8453, Train Particles Loss: 0.9493, Train Jets Loss: 0.5605, Val Loss: 0.8448, Val Particles Loss: 0.9450, Val Jets Loss: 0.5613, LR: 0.001000
Epoch 46/500, Train Loss: 0.8448, Train Particles Loss: 0.9493, Train Jets Loss: 0.5600, Val Loss: 0.8447, Val Particles Loss: 0.9447, Val Jets Loss: 0.5613, LR: 0.001000
Epoch 47/500, Train Loss: 0.8448, Train Particles Loss: 0.9492, Train Jets Loss: 0.5601, Val Loss: 0.8453, Val Particles Loss: 0.9456, Val Jets Loss: 0.5616, LR: 0.001000
Epoch 48/500, Train Loss: 0.8440, Train Particles Loss: 0.9484, Train Jets Loss: 0.5595, Val Loss: 0.8482, Val Particles Loss: 0.9489, Val Jets Loss: 0.5635, LR: 0.001000
Epoch 49/500, Train Loss: 0.8439, Train Particles Loss: 0.9481, Train Jets Loss: 0.5595, Val Loss: 0.8417, Val Particles Loss: 0.9429, Val Jets Loss: 0.5588, LR: 0.001000
Epoch 50/500, Train Loss: 0.8437, Train Particles Loss: 0.9484, Train Jets Loss: 0.5592, Val Loss: 0.8442, Val Particles Loss: 0.9417, Val Jets Loss: 0.5617, LR: 0.000500
Epoch 51/500, Train Loss: 0.8357, Train Particles Loss: 0.9392, Train Jets Loss: 0.5539, Val Loss: 0.8363, Val Particles Loss: 0.9368, Val Jets Loss: 0.5553, LR: 0.000500
Epoch 52/500, Train Loss: 0.8328, Train Particles Loss: 0.9359, Train Jets Loss: 0.5520, Val Loss: 0.8353, Val Particles Loss: 0.9316, Val Jets Loss: 0.5558, LR: 0.000500
Epoch 53/500, Train Loss: 0.8313, Train Particles Loss: 0.9349, Train Jets Loss: 0.5509, Val Loss: 0.8359, Val Particles Loss: 0.9346, Val Jets Loss: 0.5555, LR: 0.000500
Epoch 54/500, Train Loss: 0.8305, Train Particles Loss: 0.9339, Train Jets Loss: 0.5503, Val Loss: 0.8346, Val Particles Loss: 0.9338, Val Jets Loss: 0.5544, LR: 0.000500
Epoch 55/500, Train Loss: 0.8299, Train Particles Loss: 0.9334, Train Jets Loss: 0.5499, Val Loss: 0.8361, Val Particles Loss: 0.9345, Val Jets Loss: 0.5558, LR: 0.000500
Epoch 56/500, Train Loss: 0.8289, Train Particles Loss: 0.9326, Train Jets Loss: 0.5491, Val Loss: 0.8358, Val Particles Loss: 0.9345, Val Jets Loss: 0.5554, LR: 0.000500
Epoch 57/500, Train Loss: 0.8283, Train Particles Loss: 0.9325, Train Jets Loss: 0.5485, Val Loss: 0.8339, Val Particles Loss: 0.9328, Val Jets Loss: 0.5541, LR: 0.000500
Epoch 58/500, Train Loss: 0.8273, Train Particles Loss: 0.9319, Train Jets Loss: 0.5477, Val Loss: 0.8344, Val Particles Loss: 0.9329, Val Jets Loss: 0.5545, LR: 0.000500
Epoch 59/500, Train Loss: 0.8267, Train Particles Loss: 0.9312, Train Jets Loss: 0.5473, Val Loss: 0.8315, Val Particles Loss: 0.9296, Val Jets Loss: 0.5526, LR: 0.000500
Epoch 60/500, Train Loss: 0.8254, Train Particles Loss: 0.9297, Train Jets Loss: 0.5465, Val Loss: 0.8334, Val Particles Loss: 0.9310, Val Jets Loss: 0.5541, LR: 0.000500
Epoch 61/500, Train Loss: 0.8253, Train Particles Loss: 0.9300, Train Jets Loss: 0.5463, Val Loss: 0.8338, Val Particles Loss: 0.9307, Val Jets Loss: 0.5546, LR: 0.000500
Epoch 62/500, Train Loss: 0.8245, Train Particles Loss: 0.9287, Train Jets Loss: 0.5459, Val Loss: 0.8351, Val Particles Loss: 0.9332, Val Jets Loss: 0.5551, LR: 0.000500
Epoch 63/500, Train Loss: 0.8240, Train Particles Loss: 0.9287, Train Jets Loss: 0.5454, Val Loss: 0.8335, Val Particles Loss: 0.9316, Val Jets Loss: 0.5541, LR: 0.000500
Epoch 64/500, Train Loss: 0.8235, Train Particles Loss: 0.9280, Train Jets Loss: 0.5451, Val Loss: 0.8328, Val Particles Loss: 0.9306, Val Jets Loss: 0.5536, LR: 0.000500
Epoch 65/500, Train Loss: 0.8230, Train Particles Loss: 0.9280, Train Jets Loss: 0.5447, Val Loss: 0.8322, Val Particles Loss: 0.9311, Val Jets Loss: 0.5528, LR: 0.000500
Epoch 66/500, Train Loss: 0.8224, Train Particles Loss: 0.9275, Train Jets Loss: 0.5442, Val Loss: 0.8305, Val Particles Loss: 0.9291, Val Jets Loss: 0.5518, LR: 0.000500
Epoch 67/500, Train Loss: 0.8212, Train Particles Loss: 0.9266, Train Jets Loss: 0.5432, Val Loss: 0.8298, Val Particles Loss: 0.9268, Val Jets Loss: 0.5518, LR: 0.000500
Epoch 68/500, Train Loss: 0.8205, Train Particles Loss: 0.9259, Train Jets Loss: 0.5427, Val Loss: 0.8304, Val Particles Loss: 0.9266, Val Jets Loss: 0.5524, LR: 0.000500
Epoch 69/500, Train Loss: 0.8202, Train Particles Loss: 0.9256, Train Jets Loss: 0.5425, Val Loss: 0.8337, Val Particles Loss: 0.9309, Val Jets Loss: 0.5544, LR: 0.000500
Epoch 70/500, Train Loss: 0.8198, Train Particles Loss: 0.9257, Train Jets Loss: 0.5421, Val Loss: 0.8325, Val Particles Loss: 0.9314, Val Jets Loss: 0.5530, LR: 0.000500
Epoch 71/500, Train Loss: 0.8191, Train Particles Loss: 0.9246, Train Jets Loss: 0.5417, Val Loss: 0.8305, Val Particles Loss: 0.9279, Val Jets Loss: 0.5522, LR: 0.000500
Epoch 72/500, Train Loss: 0.8184, Train Particles Loss: 0.9243, Train Jets Loss: 0.5411, Val Loss: 0.8305, Val Particles Loss: 0.9280, Val Jets Loss: 0.5521, LR: 0.000500
Epoch 73/500, Train Loss: 0.8180, Train Particles Loss: 0.9241, Train Jets Loss: 0.5407, Val Loss: 0.8312, Val Particles Loss: 0.9285, Val Jets Loss: 0.5527, LR: 0.000500
Epoch 74/500, Train Loss: 0.8176, Train Particles Loss: 0.9235, Train Jets Loss: 0.5406, Val Loss: 0.8294, Val Particles Loss: 0.9268, Val Jets Loss: 0.5513, LR: 0.000500
Epoch 75/500, Train Loss: 0.8173, Train Particles Loss: 0.9232, Train Jets Loss: 0.5403, Val Loss: 0.8312, Val Particles Loss: 0.9265, Val Jets Loss: 0.5532, LR: 0.000500
Epoch 76/500, Train Loss: 0.8163, Train Particles Loss: 0.9224, Train Jets Loss: 0.5396, Val Loss: 0.8274, Val Particles Loss: 0.9236, Val Jets Loss: 0.5503, LR: 0.000500
Epoch 77/500, Train Loss: 0.8160, Train Particles Loss: 0.9226, Train Jets Loss: 0.5392, Val Loss: 0.8331, Val Particles Loss: 0.9312, Val Jets Loss: 0.5538, LR: 0.000500
Epoch 78/500, Train Loss: 0.8154, Train Particles Loss: 0.9216, Train Jets Loss: 0.5390, Val Loss: 0.8299, Val Particles Loss: 0.9300, Val Jets Loss: 0.5509, LR: 0.000500
Epoch 79/500, Train Loss: 0.8147, Train Particles Loss: 0.9213, Train Jets Loss: 0.5383, Val Loss: 0.8280, Val Particles Loss: 0.9281, Val Jets Loss: 0.5496, LR: 0.000500
Epoch 80/500, Train Loss: 0.8144, Train Particles Loss: 0.9210, Train Jets Loss: 0.5381, Val Loss: 0.8298, Val Particles Loss: 0.9284, Val Jets Loss: 0.5513, LR: 0.000500
Epoch 81/500, Train Loss: 0.8140, Train Particles Loss: 0.9208, Train Jets Loss: 0.5377, Val Loss: 0.8317, Val Particles Loss: 0.9300, Val Jets Loss: 0.5527, LR: 0.000500
Epoch 82/500, Train Loss: 0.8129, Train Particles Loss: 0.9201, Train Jets Loss: 0.5369, Val Loss: 0.8276, Val Particles Loss: 0.9255, Val Jets Loss: 0.5500, LR: 0.000500
Epoch 83/500, Train Loss: 0.8124, Train Particles Loss: 0.9197, Train Jets Loss: 0.5365, Val Loss: 0.8296, Val Particles Loss: 0.9295, Val Jets Loss: 0.5508, LR: 0.000500
Epoch 84/500, Train Loss: 0.8122, Train Particles Loss: 0.9199, Train Jets Loss: 0.5363, Val Loss: 0.8299, Val Particles Loss: 0.9275, Val Jets Loss: 0.5517, LR: 0.000500
Epoch 85/500, Train Loss: 0.8120, Train Particles Loss: 0.9192, Train Jets Loss: 0.5363, Val Loss: 0.8302, Val Particles Loss: 0.9265, Val Jets Loss: 0.5523, LR: 0.000500
Epoch 86/500, Train Loss: 0.8112, Train Particles Loss: 0.9186, Train Jets Loss: 0.5356, Val Loss: 0.8275, Val Particles Loss: 0.9254, Val Jets Loss: 0.5498, LR: 0.000500
Epoch 87/500, Train Loss: 0.8109, Train Particles Loss: 0.9184, Train Jets Loss: 0.5354, Val Loss: 0.8274, Val Particles Loss: 0.9258, Val Jets Loss: 0.5496, LR: 0.000500
